,rep_incumb,dem_incumb,rep_cand_incumbent,dem_cand_incumbent,open_seat,prev_rep_share,prev_dem_share,prev_turnout,presidential,num_of_dem_senators,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC12,HC01_EST_VC16,HC01_EST_VC19,HC01_EST_VC20,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC25,HC01_EST_VC26,HC01_EST_VC28,HC01_EST_VC29,HC01_EST_VC33,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC41,HC01_EST_VC42,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49,HC01_EST_VC50,HC01_EST_VC54,HC01_EST_VC55,HC01_EST_VC56,HC01_EST_VC57,HC01_EST_VC58,HC01_EST_VC59,HC01_EST_VC60,HC01_EST_VC61,HC01_EST_VC63,HC01_EST_VC67,HC01_EST_VC68,HC01_EST_VC69,HC01_EST_VC72,HC01_EST_VC73,dem_count,Income_Dem,Net_Operating_Expenditure_Dem,large_donor_frac_Dem,indiv_frac_Dem,self_funded_Dem,party_pac_frac_Dem,raised_funds_frac_Dem,indiv_contrib_Dem,rep_count,Income_Rep,Net_Operating_Expenditure_Rep,large_donor_frac_Rep,indiv_frac_Rep,self_funded_Rep,party_pac_frac_Rep,raised_funds_frac_Rep,indiv_contrib_Rep,other_count,dem_rep_spend_ratio,dem_rep_fundraising_ratio
210,1.0,0.0,1.0,0.0,0,0.588221180320647,0.41177881967935304,0.472324970042637,0,2,7.2,21.0,9.3,26.6,12.9,11.1,6.8,4.9,34.6,50.5,94.2,58.0,6.3,0.5,9.6,0.4,19.5,5.8,39.3,41.5,33.4,23.2,10.2,31.7,52.1,11.5,4.6,12.3,25.2,35.8,18.0,8.6,13.0,7.9,12.5,9.1,9.3,7.5,3.9,17.3,31711.0,8.4,7.1,84.6,7.4,15.2,1,159046.35,147415.11,0.547176064,0.965615599,0,0.034384401,0.998145195,153292.78,1,1556405.66,1082908.72,0.979513947,0.54531304,0,0.45468696,0.994862111,844367.63,0,0.136128842,0.181547438
239,1.0,0.0,1.0,0.0,0,0.6354557858655054,0.31651703773106726,0.6525787714312921,0,1,6.4,19.0,8.4,26.9,13.7,12.4,8.2,4.9,37.1,49.4,97.1,89.8,1.4,0.6,2.3,0.1,3.1,2.9,22.1,71.7,17.1,11.6,5.5,26.9,56.7,11.9,4.4,9.3,23.4,31.3,24.0,12.0,14.7,7.1,11.4,10.2,12.7,9.6,4.6,17.1,35215.0,8.8,7.2,84.0,8.2,10.7,1,976113.46,831689.76,0.6731935240000001,0.9527973,0,0.038775862,0.9333605640000001,875438.22,1,615310.51,610118.25,0.924719623,0.501325509,0,0.498674491,0.996322328,307336.4,0,1.363161584,2.848469039
461,1.0,0.0,1.0,0.0,0,0.721331018218571,0.2786488253096178,0.6536058298546676,0,2,5.8,16.5,8.6,24.2,12.5,14.0,10.2,8.2,40.5,51.0,95.4,90.6,3.9,0.6,3.0,0.4,0.4,1.8,2.9,88.3,5.3,3.7,1.6,27.2,54.9,11.5,6.4,6.0,29.3,31.1,21.8,11.8,14.2,7.8,12.6,11.2,12.8,10.3,4.4,15.6,33421.0,9.3,6.4,84.3,4.6,8.1,1,78311.3,73405.89,0.430580476,0.92866917,0,0.04673655,0.9754057209999999,72725.29,1,2503514.93,931874.09,0.869165581,0.39703617799999996,0,0.602963822,0.9967141279999999,964402.19,0,0.07877232599999999,0.07540971099999999
590,0.0,1.0,0.0,1.0,0,0.29426964442663833,0.579756325565939,0.6003613500844642,1,0,4.6,14.5,8.5,23.1,14.9,15.6,10.9,7.9,44.5,51.3,95.5,94.3,1.4,0.4,1.4,0.4,0.2,2.3,1.7,93.2,6.2,4.3,1.9,29.6,49.2,14.8,6.4,6.2,29.1,27.3,24.1,13.3,15.8,9.0,15.3,13.1,13.5,10.1,3.7,11.7,29404.0,10.3,7.8,81.8,4.3,10.1,1,614358.96,270244.95,0.72156188,0.654136576,0,0.278976285,0.93070875,400839.26,1,104143.75,101156.33,0.85081937,0.7706039140000001,0,0.055832213,0.792384757,76946.92,0,2.671557479,5.209295707
320,1.0,0.0,0.0,0.0,1,0.5856735332035,0.4143264667965,0.5865346560140033,0,1,4.4,13.1,7.6,21.4,12.4,15.7,14.3,11.1,47.9,51.2,95.4,82.8,10.3,0.5,1.9,0.4,2.8,1.7,12.8,73.5,12.6,9.1,3.5,27.4,47.9,16.2,8.5,10.1,32.4,33.8,14.6,9.1,14.4,9.8,17.5,12.0,12.7,7.6,3.1,8.7,25752.0,14.5,9.5,76.0,9.7,13.5,1,3242549.28,3180573.22,0.90586553,0.900579945,0,0.099420055,0.99979885,2896622.67,1,2197940.02,1980841.51,0.9567792159999999,0.795275759,0,0.204724241,0.724618463,1246086.85,0,1.605667694,2.324575265
114,0.0,1.0,0.0,1.0,0,0.4881855969720523,0.5118144030279477,0.5553741282103256,0,2,6.0,14.0,11.5,30.7,13.6,11.0,7.3,6.0,35.6,49.6,95.55,69.3,3.0,0.5,20.4,0.4,2.0,4.5,13.4,59.3,28.2,18.5,9.8,35.7,48.7,11.0,4.5,5.4,12.3,27.2,31.5,23.6,13.4,6.5,10.4,8.0,11.6,9.0,4.1,22.7,40136.0,10.5,6.2,83.3,5.2,8.8,1,4544000.52,4359874.64,0.8134363090000001,0.613299216,0,0.355713522,0.872732721,2506834.2,1,3412768.79,3300555.82,0.8959127490000001,0.862324823,0,0.13767517699999998,0.9964233440000001,2669990.48,0,1.320951645,0.938892561
268,1.0,0.0,1.0,0.0,0,0.5887838949410877,0.37508347448761714,0.625106824399499,0,1,4.6,14.1,7.8,20.5,14.8,14.8,12.4,11.1,47.7,51.2,95.55,83.9,10.2,0.3,2.1,0.4,1.0,2.4,9.6,76.3,10.3,7.1,3.2,25.8,48.9,16.5,8.8,9.9,28.7,35.0,16.6,9.8,16.7,10.8,17.0,11.8,11.8,6.8,2.7,8.5,23866.0,14.8,9.9,75.3,5.0,10.1,1,110316.25,101542.75,0.842539186,0.926441622,0,0.049947047,0.974621781,102016.62,1,1131537.55,971856.02,0.8319759790000001,0.5757135760000001,0,0.424286424,0.998723754,650610.13,0,0.10448332699999999,0.156801463
521,1.0,0.0,1.0,0.0,0,0.7725221825795698,0.21538698686226088,0.5488232816281066,0,1,6.9,18.1,10.3,25.7,14.1,12.4,7.0,5.4,35.8,51.2,95.55,70.7,24.8,0.6,1.2,0.4,0.7,2.4,3.4,68.5,11.7,9.1,2.6,32.3,45.8,15.1,6.8,19.3,34.1,26.7,13.5,6.5,19.5,10.0,14.9,10.1,11.0,8.0,3.1,9.6,23708.0,16.7,12.3,71.0,4.0,7.3,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2281027.56,1623212.72,0.9290028379999999,0.439373036,0,0.560626964,0.995960961,998173.99,1,0.0,0.0
553,0.0,1.0,0.0,1.0,0,0.0,0.7664574587154912,0.4607044115033112,1,2,5.6,14.5,8.1,29.2,14.4,13.1,8.0,7.1,39.0,51.9,95.5,77.1,9.6,0.5,7.9,0.4,3.2,2.2,5.9,73.9,21.7,12.7,9.0,38.0,45.4,10.2,6.4,7.4,23.6,23.7,27.3,18.1,15.0,7.3,10.8,9.3,12.2,10.1,5.1,20.9,37973.0,10.6,5.2,84.2,7.5,10.4,1,1216340.21,494599.09,0.921713934,0.700553757,0,0.299446243,0.995309248,848114.66,1,47391.0,48129.1,0.7751643029999999,0.061003144,1,0.0,0.061003144,2891.0,0,10.27650818,293.3637703
675,1.0,0.0,1.0,0.0,0,0.6665075616741195,0.2431857006481435,0.28049332607542937,1,1,6.1,17.1,8.8,23.0,13.6,14.0,9.7,7.7,40.5,50.1,95.5,92.0,5.1,0.5,0.6,0.4,0.2,1.8,1.7,90.7,2.1,1.4,0.6,26.2,50.7,15.3,7.7,17.8,36.5,30.2,10.0,5.6,20.6,12.1,17.4,11.8,11.7,6.0,2.3,5.8,20931.0,19.2,12.2,68.6,6.6,10.8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1696238.68,1100601.14,0.9283246999999999,0.33154503399999996,0,0.668454966,0.9969973740000001,551291.73,1,0.0,0.0
