district,Dem_C,Dem_I,Dem_O,Raised_Dem,Spent_Dem,Rep_C,Rep_I,Rep_O,Raised_Rep,Spent_Rep
AK01,1,0,0,1949643.68,1943398.59,0,1,0,1234680.31,1387687.05
AL01,1,0,0,166845.21,166845.21,0,1,0,1463187.12,834780.43
AL02,1,0,0,524941.35,524941.35,0,1,0,2573681.12,2277448.83
AL03,1,0,0,467514.71,464472.2,0,1,0,1350417.37,1348278.3
AL04,1,0,0,70425.87,77551.69,0,1,0,1550530.91,1300365.01
AL05,1,0,0,590173.38,587237.93,0,1,0,1527246.16,2006001.97
AL06,1,0,0,287432.23,287432.23,0,1,0,1216730.71,1496359.76
AL07,0,1,0,1785098.9,1178352.28,0,0,0,,
AR01,1,0,0,137153.22,137153.22,0,1,0,1019464.16,966616.64
AR02,1,0,0,2366991.03,2359234.62,0,1,0,2934564.98,3536453.22
AR03,1,0,0,266234.41,265214.3,0,1,0,1211826.66,1218424.03
AR04,1,0,0,157247.12,155049.94,0,1,0,1624216.85,1297141.11
AZ01,0,1,0,2748953.04,2760247.97,1,0,0,1423836.68,1427124.4
AZ02,0,0,1,4591984.57,4519793.32,0,0,1,1466445.23,1457230.95
AZ03,0,1,0,713305.82,733300.37,1,0,0,77401.0,71640.5
AZ04,1,0,0,598542.59,598541.66,0,1,0,588764.42,575157.87
AZ05,1,0,0,201030.73,199163.32,0,1,0,789616.16,552967.73
AZ06,1,0,0,397776.28,391755.8,0,1,0,1789742.69,1773912.37
AZ07,0,1,0,1029052.74,953135.67,0,0,0,,
AZ08,0,0,1,4579945.1,4479343.36,0,1,0,2103473.83,2032633.16
AZ09,0,0,1,2510256.26,2465870.87,0,0,1,1565927.76,1565927.76
CA01,1,0,0,1097584.95,1097092.46,0,1,0,1034565.26,1095659.91
CA02,0,1,0,951336.24,731368.14,1,0,0,4918.0,3729.25
CA03,0,1,0,1120045.28,839434.81,1,0,0,38285.99,27158.94
CA04,1,0,0,3813237.37,3711060.21,0,1,0,1749596.79,1800346.86
CA05,0,1,0,2132210.38,2088802.64,0,0,0,,
CA06,0,1,0,1067180.03,1118818.56,0,0,0,,
CA07,0,1,0,2960892.11,1769089.63,1,0,0,566014.2,549841.35
CA09,0,1,0,1244066.27,1285784.91,1,0,0,99966.73,97462.93
CA10,1,0,0,8441529.09,8421288.43,0,1,0,4911908.8,4932044.09
CA11,0,1,0,576041.93,489011.76,1,0,0,0.0,0.0
CA12,0,1,0,4622034.66,5438034.69,1,0,0,22442.61,22442.61
CA13,0,1,0,1875867.26,1781695.78,0,0,0,,
CA14,0,1,0,961914.11,748371.32,1,0,0,0.0,0.0
CA15,0,1,0,3120878.72,2462007.82,1,0,0,56807.88,56807.88
CA16,0,1,0,1856797.6,2363583.43,1,0,0,1298558.89,1267197.95
CA17,0,1,0,2745646.11,1922134.46,1,0,0,3631.0,3590.0
CA18,0,1,0,1456223.86,1361644.46,1,0,0,0.0,0.0
CA19,0,1,0,1733955.08,1872385.37,1,0,0,26127.27,22256.57
CA20,0,1,0,1256256.36,727578.17,0,0,0,,
CA21,1,0,0,2975996.02,2921204.91,0,1,0,3285165.34,3255419.06
CA22,1,0,0,9233869.01,9211821.7,0,1,0,12690863.36,11629556.14
CA23,1,0,0,116057.86,106342.6,0,1,0,8018574.59,8249321.58
CA24,0,1,0,2759810.4,2077611.91,1,0,0,1459656.01,1513003.06
CA25,1,0,0,8569626.33,8505044.12,0,1,0,2628084.46,2631813.07
CA26,0,1,0,2589593.97,1788074.84,1,0,0,350222.64,350222.64
CA27,1,0,0,1412968.81,947960.39,0,0,0,,
CA28,0,1,0,6268995.25,3660828.23,1,0,0,36370.0,36332.56
CA29,0,1,0,1523845.68,1483992.48,1,0,0,8428.0,8476.0
CA30,0,1,0,1395491.8,549092.26,1,0,0,0.0,0.0
CA31,0,1,0,2768324.72,2493817.05,1,0,0,1363972.31,1399111.11
CA32,0,1,0,410266.98,249008.44,1,0,0,6274.0,5445.19
CA33,0,1,0,1785339.23,974393.02,1,0,0,164786.01,161454.23
CA34,0,1,0,1552000.9,1487790.7,0,0,0,,
CA35,0,1,0,626350.38,628449.31,1,0,0,7315.85,8221.19
CA36,0,1,0,3168050.84,2512376.46,1,0,0,844037.02,841751.6
CA37,0,1,0,896504.23,829565.75,1,0,0,10387.55,10147.97
CA38,0,1,0,1732077.29,1415533.77,1,0,0,0.0,0.0
CA39,0,0,1,12265194.02,12183755.2,0,0,1,2907665.64,2902331.5
CA40,0,1,0,535190.84,567684.5,0,0,0,,
CA41,0,1,0,1076805.17,1100014.99,1,0,0,43984.88,43652.16
CA42,1,0,0,159046.35,149914.01,0,1,0,1556405.66,1620855.36
CA43,0,1,0,1600229.82,1389065.63,1,0,0,1173123.55,1045289.5
CA44,1,0,0,1571343.71,993183.97,0,0,0,,
CA45,1,0,0,6975217.54,6891471.01,0,1,0,4937508.77,5280460.18
CA46,0,1,0,1135363.38,565364.85,1,0,0,140.0,0.0
CA47,0,1,0,714680.26,631673.27,1,0,0,54713.56,48137.47
CA48,1,0,0,8749389.97,8473725.72,0,1,0,2788146.84,2979978.21
