,Member Name,Birth-Death,Position,Party,State,Election_year
0,,,,,,
1,"ALEXANDER, Lamar",1940- ,Senator,Republican,TN,2018.0
2,,,,,,
3,"BALDWIN, Tammy",1962- ,Senator,Democrat,WI,2018.0
4,,,,,,
5,"BARRASSO, John A.",1952- ,Senator,Republican,WY,2018.0
6,,,,,,
7,"BENNET, Michael F.",1964- ,Senator,Democrat,CO,2018.0
8,,,,,,
9,"BLUMENTHAL, Richard",1946- ,Senator,Democrat,CT,2018.0
10,,,,,,
11,"BLUNT, Roy",1950- ,Senator,Republican,MO,2018.0
12,,,,,,
13,"BOOKER, Cory Anthony",1969- ,Senator,Democrat,NJ,2018.0
14,,,,,,
15,"BOOZMAN, John",1950- ,Senator,Republican,AR,2018.0
16,,,,,,
17,"BROWN, Sherrod",1952- ,Senator,Democrat,OH,2018.0
18,,,,,,
19,"BURR, Richard M.",1955- ,Senator,Republican,NC,2018.0
20,,,,,,
21,"CANTWELL, Maria E.",1958- ,Senator,Democrat,WA,2018.0
22,,,,,,
23,"CAPITO, Shelley Moore",1953- ,Senator,Republican,WV,2018.0
24,,,,,,
25,"CARDIN, Benjamin Louis",1943- ,Senator,Democrat,MD,2018.0
26,,,,,,
27,"CARPER, Thomas Richard",1947- ,Senator,Democrat,DE,2018.0
28,,,,,,
29,"CASEY, Robert P. (Bob), Jr.",1960- ,Senator,Democrat,PA,2018.0
30,,,,,,
31,"CASSIDY, Bill",1957- ,Senator,Republican,LA,2018.0
32,,,,,,
33,"COCHRAN, William Thad",1937-2019,Senator,Republican,MS,2018.0
34,,,,,,
35,"COLLINS, Susan Margaret",1952- ,Senator,Republican,ME,2018.0
36,,,,,,
37,"COONS, Christopher A.",1963- ,Senator,Democrat,DE,2018.0
38,,,,,,
39,"CORKER, Robert (Bob)",1952- ,Senator,Republican,TN,2018.0
40,,,,,,
41,"CORNYN, John",1952- ,Senator,Republican,TX,2018.0
42,,,,,,
43,"CORTEZ MASTO, Catherine Marie",1964- ,Senator,Democrat,NV,2018.0
44,,,,,,
45,"COTTON, Tom",1977- ,Senator,Republican,AR,2018.0
46,,,,,,
47,"CRAPO, Michael Dean",1951- ,Senator,Republican,ID,2018.0
48,,,,,,
49,"CRUZ, Rafael Edward (Ted)",1970- ,Senator,Republican,TX,2018.0
50,,,,,,
51,"DAINES, Steve",1962- ,Senator,Republican,MT,2018.0
52,,,,,,
53,"DONNELLY, Joe",1955- ,Senator,Democrat,IN,2018.0
54,,,,,,
55,"DUCKWORTH, Tammy",1968- ,Senator,Democrat,IL,2018.0
56,,,,,,
57,"DURBIN, Richard Joseph",1944- ,Senator,Democrat,IL,2018.0
58,,,,,,
59,"ENZI, Michael B.",1944- ,Senator,Republican,WY,2018.0
60,,,,,,
61,"ERNST, Joni",1970- ,Senator,Republican,IA,2018.0
62,,,,,,
63,"FEINSTEIN, Dianne",1933- ,Senator,Democrat,CA,2018.0
64,,,,,,
65,"FISCHER, Debra (Deb)",1951- ,Senator,Republican,NE,2018.0
66,,,,,,
67,"FLAKE, Jeff",1962- ,Senator,Republican,AZ,2018.0
68,,,,,,
69,"FRANKEN, Al",1951- ,Senator,Democrat,MN,2018.0
70,,,,,,
71,"GARDNER, Cory",1974- ,Senator,Republican,CO,2018.0
72,,,,,,
73,"GILLIBRAND, Kirsten",1966- ,Senator,Democrat,NY,2018.0
74,,,,,,
75,"GRAHAM, Lindsey O.",1955- ,Senator,Republican,SC,2018.0
76,,,,,,
77,"GRASSLEY, Charles Ernest",1933- ,Senator,Republican,IA,2018.0
78,,,,,,
79,"HARRIS, Kamala Devi",1964- ,Senator,Democrat,CA,2018.0
80,,,,,,
