,distyear,newind,year,dem_count,Income_Dem,Net_Operating_Expenditure_Dem,large_donor_frac_Dem,indiv_frac_Dem,self_funded_Dem,party_pac_frac_Dem,raised_funds_frac_Dem,indiv_contrib_Dem,rep_count,Income_Rep,Net_Operating_Expenditure_Rep,large_donor_frac_Rep,indiv_frac_Rep,self_funded_Rep,party_pac_frac_Rep,raised_funds_frac_Rep,indiv_contrib_Rep,other_count,dem_rep_spend_ratio,dem_rep_fundraising_ratio
0,AK012014,AK01,2014,1.0,237456.58,230088.83,0.520005792427105,0.9817878283263408,False,0.018212171673659246,1.0,233131.98,1.0,788960.16,757672.07,0.9345141325094376,0.6146647244024991,False,0.38533527559750097,0.9523902449015931,461857.82,1.0,0.303678648204625,0.5047700177513504
1,AK012016,AK01,2016,1.0,1102309.77,1014222.69,0.6577900393893951,0.9176978031443542,False,0.06618235581426596,0.972027663330971,999400.98,1.0,1103561.86,1308929.68,0.9321324916335756,0.5821770627871604,False,0.4178229372128395,0.9967697053249012,640393.04,2.0,0.774848874998388,1.5606056243209638
2,AK012018,AK01,2018,1.0,1949643.68,1894620.82,0.6312499068159796,0.9301863257003512,False,0.0590282368718425,0.9871445073491584,1809591.38,1.0,1234680.31,1370456.88,0.9312221128753544,0.5449151257722267,False,0.4550848742277733,0.9964006229272416,670374.33,0.0,1.382473865212016,2.699374512147564
3,AL012014,AL01,2014,1.0,36974.05,35603.0,1.0,1.0,False,0.0,0.7719468113447133,33474.0,1.0,1907597.44,1574319.65,0.9387947039897876,0.4811023024762146,False,0.5188976975237855,0.9964672053659288,914507.3,0.0,0.022614848261596685,0.03660331634312815
4,AL012018,AL01,2018,1.0,166845.21,46845.21,0.29979222518564297,0.8345615272084381,True,0.16543847279156182,0.28077048181365233,39095.21,1.0,1463187.12,733954.13,0.9646557371345648,0.2457062344387873,False,0.7542937655612126,0.999871308325896,343761.59,0.0,0.06382580066686183,0.11372768551599961
5,AL022014,AL02,2014,1.0,6674.0,10067.0,0.30938466827088346,0.4358705424033563,False,0.0,1.0,2909.0,1.0,1098795.1,555899.67,0.8977724399763851,0.41488620031314144,False,0.5851137996868585,0.9959587187820551,454019.64,0.0,0.018109382939550944,0.006407211811365693
6,AL022016,AL02,2016,1.0,36844.0,36844.0,0.0,0.0,True,0.0,0.0,0.0,1.0,1404260.12,1563096.37,0.9054172245812891,0.4095588579144597,False,0.5904411420855404,0.9995682851123052,574878.88,0.0,0.02357116343376832,0.0
7,AL022018,AL02,2018,1.0,524941.35,514145.3,0.6091499387515901,0.9563471656979377,False,0.016409814766468595,0.9717191644361796,501490.57,1.0,2573681.12,2106028.7,0.941229258643138,0.32242668438577665,False,0.6775733156142234,0.9965162234239804,799289.56,0.0,0.24413024380911805,0.6274203931801636
8,AL032014,AL03,2014,1.0,9000.0,2500.0,1.0,0.0,False,0.0,0.2333333333333333,0.0,1.0,1107197.22,821399.13,0.9539604306873616,0.4597119707330711,False,0.5402880292669289,0.9958042253754936,504511.67,0.0,0.003043587348333325,0.0
9,AL032016,AL03,2016,1.0,9810.0,7348.0,0.3477064220183486,1.0,False,0.0,0.6738022426095821,9810.0,1.0,1139022.37,902052.06,0.9727452912905464,0.40485890227671306,False,0.5951410977232869,0.9967117678294588,459627.0,0.0,0.008145871314788639,0.02134339366486303
10,AL032018,AL03,2018,1.0,467514.71,406331.32,0.5256670225345011,0.929594939702154,False,0.07040506029784611,0.941808355078282,409309.26,1.0,1350417.37,1197846.79,0.9793880521596162,0.3942283820768251,False,0.6057716179231749,0.9962416286158996,530372.0,0.0,0.33921810651594264,0.7717399485644039
11,AL042018,AL04,2018,1.0,70425.87,76421.9,0.5541078797603762,0.8684432297392991,False,0.13098879715649947,0.9994320268957984,61160.87,1.0,1550530.91,1261976.94,0.9433846579706968,0.3051289271922078,False,0.6948710728077923,0.989906502412132,468336.48,0.0,0.06055728720367901,0.13059172755451381
12,AL052016,AL05,2016,1.0,61311.93,61251.11,0.5964820975194638,0.60879471089712,False,0.3425318550343533,0.9059696864867898,35546.75,1.0,476225.18,113998.4,0.9779893709153034,0.4483109981217177,False,0.5516890018782823,0.989742310559891,211307.0,0.0,0.5372979796207666,0.16822324863823726
13,AL052018,AL05,2018,1.0,590173.38,566967.63,0.7539655329160252,0.9469854574984584,False,0.05103545900008463,0.9882010266203466,553386.53,1.0,1527246.16,1988145.35,0.6997728516944648,0.799227430806603,False,0.2007725691933971,0.9966274068091288,1216500.38,0.0,0.2851741347784255,0.45490041688273053
14,AL062014,AL06,2014,1.0,153501.09,165464.66,0.744399154041269,1.0,False,0.0,0.9348538827965326,143501.09,1.0,1880021.71,1681221.91,0.9733876350348212,0.861489820597976,False,0.13851017940202404,0.9996077438914256,1618984.26,0.0,0.09841928600609304,0.08863649483534818
15,AL062016,AL06,2016,1.0,197378.52,72815.39,0.8316498316498316,0.09436502306700564,True,0.0,0.04062752117099672,8019.0,1.0,1232446.2,578845.87,0.9871255252590104,0.7655244614741362,False,0.2344755385258637,0.9871461488542056,931340.52,0.0,0.12579409092095623,0.00861016977979225
16,AL062018,AL06,2018,1.0,287432.23,285091.56,0.6871531765500638,0.9658423830897459,False,0.031311728681226884,0.9971541117709728,277614.23,1.0,1216730.71,1079264.61,0.9765487688858828,0.4885239163533826,False,0.5114760836466175,0.9950306670569696,298279.01,0.0,0.2641535332099882,0.9307199658467419
17,AL072014,AL07,2014,1.0,1511862.55,1165162.7,0.9219312711106474,0.2872485331961311,False,0.7127514668038689,0.9995295207226343,434075.98,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,9999.0
18,AL072016,AL07,2016,1.0,1630079.97,673532.91,0.9404507645701148,0.22352557043817425,False,0.7764744295618258,0.9979296966639004,363610.21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,9999.0
19,AL072018,AL07,2018,1.0,1785098.9,881310.97,0.9536150593495388,0.1849430534686176,False,0.8150569465313824,0.9987468369399588,329727.92,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,9999.0
20,AR012014,AR01,2014,1.0,284800.44,273896.9,0.8779186900454685,0.8632208748392844,False,0.1367791251607155,0.9793412889390201,240766.83,1.0,907123.79,603575.08,0.8270096934235194,0.4480246732454173,False,0.5519753267545827,0.9986771375492204,405876.21,1.0,0.4537909351724727,0.5932026171230877
21,AR012018,AR01,2018,1.0,137153.22,137069.22,0.4815813814148993,0.8766482478501052,False,0.08982989972820178,0.966478147578307,120235.13,1.0,1019464.16,542041.64,0.9043609800006228,0.5074495311340812,False,0.4925504688659187,1.0,517326.61,1.0,0.2528758122715443,0.23241628726579522
22,AR022014,AR02,2014,1.0,1565130.39,1559821.87,0.9052427521223648,0.7597000681954805,False,0.24029993180451956,0.9998402688992576,1151010.74,1.0,2198995.68,2100193.85,0.9594988530726796,0.7884653285268979,False,0.2115346714731021,0.978740294751284,1692042.7,1.0,0.7427037604171635,0.6802492277529403
23,AR022016,AR02,2016,1.0,37666.34,28257.41,0.5727004778680805,0.6555686404536776,False,0.044304448738323635,0.6633296465756959,22935.2,1.0,2240181.57,1572714.46,0.9591186071499004,0.5838190352659511,False,0.416180964734049,0.9825013871531852,1255061.69,1.0,0.017967285682615266,0.018274161487631738
24,AR022018,AR02,2018,1.0,2366991.03,2347833.69,0.8095036926881015,0.8761465509980195,False,0.12376780616319268,0.9971694020319122,2046047.43,1.0,2934564.98,3361453.22,0.9482842629908196,0.5674893864507304,False,0.4325106135492696,1.0,1665334.48,1.0,0.6984579395693628,1.2286105011168686
25,AR032018,AR03,2018,1.0,266234.41,265213.91,0.630298664121167,0.5713390711781885,False,0.02681751099439733,0.5026705976887061,127828.21,1.0,1211826.66,1091543.68,0.9429627070688495,0.4396706746162307,False,0.5603293253837693,0.9949412319415388,530109.31,1.0,0.24297141274273146,0.24113556881315665
26,AR042014,AR04,2014,1.0,1189666.78,1158664.78,0.9182692420548344,0.7052422548045475,False,0.2753500604566222,0.9758717899141472,834964.36,1.0,1047441.15,930663.54,0.904863861126992,0.7172616585115228,False,0.2696228902902507,0.9876524423353044,707291.37,1.0,1.2449878287914877,1.1805097522962849
27,AR042018,AR04,2018,1.0,157247.12,149255.03,0.6291439828532668,0.8473903651852145,False,0.12954898444021914,0.9634632418069088,131411.62,1.0,1624216.85,1255979.11,0.9211305643370792,0.5599280472533991,False,0.4400719527466009,0.9999926118239691,909437.85,1.0,0.11883559910482905,0.1444976366444392
28,AZ012014,AZ01,2014,1.0,3420445.88,3273725.98,0.6438968611519776,0.674730621100281,False,0.3252693788997189,0.9972615470822768,2279416.19,1.0,1385768.58,1354499.78,0.9066558648036996,0.6873650043166786,False,0.3126349956833214,0.9994176516832268,906905.29,0.0,2.4169261806746105,2.5134004786762243
29,AZ012016,AZ01,2016,1.0,1605996.95,1570147.18,0.8332763305632525,0.6702954092749883,False,0.3238743820013905,0.993229333343379,1075474.05,1.0,1294238.74,1245674.32,0.6702210891402666,0.8471298736370253,False,0.15287012636297473,0.9896473505344152,1080639.69,1.0,1.2604796894263661,0.9952198313204654
30,AZ012018,AZ01,2018,1.0,2748953.04,2701780.93,0.8519511703112007,0.5901854716205629,False,0.4098145283794371,0.9923831001492844,1600056.89,1.0,1423836.68,1391890.51,0.8889721635630641,0.9357270787661176,False,0.0637709950013384,0.976937888690998,1302250.0,0.0,1.9410872554910947,1.2286864196582836
31,AZ022014,AZ02,2014,1.0,4029500.96,3168356.37,0.7013579695240697,0.6233061283583149,False,0.376693871641685,0.8890545592524193,2216333.98,1.0,4941801.69,3926753.64,0.6708884663797814,0.8622476708471832,False,0.13775232915281674,0.8841635589792353,3504797.56,0.0,0.8068640562844172,0.6323714685535218
32,AZ022016,AZ02,2016,1.0,1585093.47,1555118.51,0.8284687687453232,0.7927798163221252,False,0.18814146020045114,0.9809212765225762,1256630.11,1.0,7878156.18,7505195.31,0.5870569011233262,0.8055997119908687,False,0.1944002880091314,0.9863350462290532,5975189.77,0.0,0.2072056016887321,0.2103079832391667
