distyear,newind,year,dem_count,Income_Dem,Net_Operating_Expenditure_Dem,large_donor_frac_Dem,indiv_frac_Dem,self_funded_Dem,party_pac_frac_Dem,raised_funds_frac_Dem,indiv_contrib_Dem,rep_count,Income_Rep,Net_Operating_Expenditure_Rep,large_donor_frac_Rep,indiv_frac_Rep,self_funded_Rep,party_pac_frac_Rep,raised_funds_frac_Rep,indiv_contrib_Rep,other_count,dem_rep_spend_ratio,dem_rep_fundraising_ratio
AK012014,AK01,2014,1,237456.58,230088.83,0.520005792,0.981787828,0,0.018212172,1,233131.98,1,788960.16,757672.07,0.934514133,0.614664724,0,0.385335276,0.952390245,461857.82,1,0.303678648,0.504770018
AK012016,AK01,2016,1,1102309.77,1014222.69,0.657790039,0.917697803,0,0.066182356,0.972027663,999400.98,1,1103561.86,1308929.68,0.932132492,0.582177063,0,0.417822937,0.996769705,640393.04,2,0.774848875,1.560605624
AK012018,AK01,2018,1,1949643.68,1894620.82,0.631249907,0.930186326,0,0.059028237,0.987144507,1809591.38,1,1234680.31,1370456.88,0.931222113,0.544915126,0,0.455084874,0.996400623,670374.33,0,1.382473865,2.699374512
AL012014,AL01,2014,1,36974.05,35603,1,1,0,0,0.771946811,33474,1,1907597.44,1574319.65,0.938794704,0.481102302,0,0.518897698,0.996467205,914507.3,0,0.022614848,0.036603316
AL012018,AL01,2018,1,166845.21,46845.21,0.299792225,0.834561527,1,0.165438473,0.280770482,39095.21,1,1463187.12,733954.13,0.964655737,0.245706234,0,0.754293766,0.999871308,343761.59,0,0.063825801,0.113727686
AL022014,AL02,2014,1,6674,10067,0.309384668,0.435870542,0,0,1,2909,1,1098795.1,555899.67,0.89777244,0.4148862,0,0.5851138,0.995958719,454019.64,0,0.018109383,0.006407212
AL022016,AL02,2016,1,36844,36844,0,0,1,0,0,0,1,1404260.12,1563096.37,0.905417225,0.409558858,0,0.590441142,0.999568285,574878.88,0,0.023571163,0
AL022018,AL02,2018,1,524941.35,514145.3,0.609149939,0.956347166,0,0.016409815,0.971719164,501490.57,1,2573681.12,2106028.7,0.941229259,0.322426684,0,0.677573316,0.996516223,799289.56,0,0.244130244,0.627420393
AL032014,AL03,2014,1,9000,2500,1,0,0,0,0.233333333,0,1,1107197.22,821399.13,0.953960431,0.459711971,0,0.540288029,0.995804225,504511.67,0,0.003043587,0
AL032016,AL03,2016,1,9810,7348,0.347706422,1,0,0,0.673802243,9810,1,1139022.37,902052.06,0.972745291,0.404858902,0,0.595141098,0.996711768,459627,0,0.008145871,0.021343394
AL032018,AL03,2018,1,467514.71,406331.32,0.525667023,0.92959494,0,0.07040506,0.941808355,409309.26,1,1350417.37,1197846.79,0.979388052,0.394228382,0,0.605771618,0.996241629,530372,0,0.339218107,0.771739949
AL042018,AL04,2018,1,70425.87,76421.9,0.55410788,0.86844323,0,0.130988797,0.999432027,61160.87,1,1550530.91,1261976.94,0.943384658,0.305128927,0,0.694871073,0.989906502,468336.48,0,0.060557287,0.130591728
AL052016,AL05,2016,1,61311.93,61251.11,0.596482098,0.608794711,0,0.342531855,0.905969686,35546.75,1,476225.18,113998.4,0.977989371,0.448310998,0,0.551689002,0.989742311,211307,0,0.53729798,0.168223249
AL052018,AL05,2018,1,590173.38,566967.63,0.753965533,0.946985457,0,0.051035459,0.988201027,553386.53,1,1527246.16,1988145.35,0.699772852,0.799227431,0,0.200772569,0.996627407,1216500.38,0,0.285174135,0.454900417
AL062014,AL06,2014,1,153501.09,165464.66,0.744399154,1,0,0,0.934853883,143501.09,1,1880021.71,1681221.91,0.973387635,0.861489821,0,0.138510179,0.999607744,1618984.26,0,0.098419286,0.088636495
AL062016,AL06,2016,1,197378.52,72815.39,0.831649832,0.094365023,1,0,0.040627521,8019,1,1232446.2,578845.87,0.987125525,0.765524461,0,0.234475539,0.987146149,931340.52,0,0.125794091,0.00861017
AL062018,AL06,2018,1,287432.23,285091.56,0.687153177,0.965842383,0,0.031311729,0.997154112,277614.23,1,1216730.71,1079264.61,0.976548769,0.488523916,0,0.511476084,0.995030667,298279.01,0,0.264153533,0.930719966
AL072014,AL07,2014,1,1511862.55,1165162.7,0.921931271,0.287248533,0,0.712751467,0.999529521,434075.98,0,0,0,0,0,0,0,0,0,0,9999,9999
