,newind,Cand_Name,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Coverage_End_Date,Party_Committee_Contribution,Cand_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Coverage_Start_Date
1419,AK01,"NELSON, THOMAS JOHN",REP,CHALLENGER,9288.48,8821.97,466.51,12/31/2018,0.0,1888.27,7571.99,0.0,04/01/2018
2047,AK01,"SHEIN, DIMITRI",DEM,CHALLENGER,209916.04,209574.16,367.52,12/31/2018,0.0,43004.59,95271.94,0.0,04/01/2017
1392,AK01,"YOUNG, DONALD E",REP,INCUMBENT,1234680.31,1387687.05,116720.12,12/31/2018,0.0,0.0,1370456.88,269726.86,01/01/2017
1664,AK01,"GALVIN, ALYSE",IND,CHALLENGER,1949643.68,1943398.59,6245.09,12/31/2018,0.0,20982.07,1894620.82,0.0,01/01/2018
838,AL01,"MCCONNELL, LIZZETTA HILL",DEM,CHALLENGER,5127.0,6021.0,-894.0,06/30/2018,0.0,0.0,6021.0,0.0,02/03/2018
872,AL01,"BYRNE, BRADLEY ROBERTS",REP,INCUMBENT,1463187.12,834780.43,1074725.02,12/31/2018,663.98,0.0,733954.13,446318.33,01/01/2017
419,AL01,"KENNEDY, ROBERT JR.",DEM,CHALLENGER,166845.21,166845.21,0.0,12/31/2018,0.0,0.0,46845.21,0.0,01/01/2018
2028,AL02,"ROBY, MARTHA",REP,INCUMBENT,2573681.12,2277448.83,341683.01,12/31/2018,7000.0,0.0,2106028.7,45450.72,01/01/2017
376,AL02,"ISNER, TABITHA KAY",DEM,CHALLENGER,524941.35,524941.35,0.0,12/31/2018,0.0,14285.73,514145.3,0.0,09/12/2017
506,AL02,"AMASON, THOMAS MARRION III",REP,CHALLENGER,15380.59,14007.45,-2516.19,05/16/2018,5000.0,0.0,3065.89,0.0,03/01/2017
1935,AL02,"WILLIAMS, AUDRI SCOTT 1955",DEM,CHALLENGER,35365.02,35210.22,-328.0,06/30/2018,0.0,2200.0,35210.22,279.0,07/01/2017
1013,AL02,"HOBSON, RICH",REP,CHALLENGER,76307.05,75633.71,673.34,06/30/2018,0.0,500.0,75433.71,0.0,01/01/2018
1665,AL02,"MOORE, FELIX BARRY",REP,CHALLENGER,154582.44,149654.77,4927.67,12/31/2018,0.0,0.0,149654.77,0.0,04/01/2017
927,AL02,"BRIGHT, BOBBY NEAL SR.",REP,CHALLENGER,420688.08,420688.08,0.0,09/30/2018,0.0,0.0,419065.69,0.0,01/01/2018
1639,AL03,"ROGERS, MICHAEL",REP,INCUMBENT,1350417.37,1348278.3,527686.03,12/31/2018,12750.0,0.0,1197846.79,525546.96,01/01/2017
1829,AL03,"WINFREY, ADIA MCCLELLAN DR",DEM,CHALLENGER,14535.25,9959.35,0.59,12/31/2018,0.0,140.0,9755.75,0.0,02/06/2018
1530,AL03,"HAGAN, MALLORY",DEM,CHALLENGER,467514.71,464472.2,2917.53,12/31/2018,500.0,0.0,406331.32,0.0,01/01/2018
