district,partisan_lean
AL07,41.69
AZ03,24.11
AZ07,43.88
AZ09,8.38
CA02,40.5
CA03,8.17
CA05,40.03
CA06,39.5
CA07,4.97
CA09,14.33
CA11,41.1
CA12,71.57
CA13,75.93
CA14,52.03
CA15,39.23
CA16,16.83
CA17,47.1
CA18,44.6
CA19,45.2
CA20,42.4
CA21,10.07
CA24,13.17
CA26,14.07
CA27,30.3
CA28,43.83
CA29,55.47
CA30,36.03
CA31,15.63
CA32,32.87
CA33,31.5
CA34,67.6
CA35,35.5
CA36,2.97
CA37,70.83
CA38,33.07
CA39,0.53
CA40,63.97
CA41,23.03
CA43,56.5
CA44,66.87
CA46,30.03
CA47,24.6
CA51,42.2
CA52,13.17
CA53,27.63
CO01,40.37
CO02,16.77
CO06,4.07
CO07,9.37
CT01,20.56
CT02,2.29
CT03,15.02
CT04,14.96
CT05,1.39
DE01,13.66
FL05,21.43
FL09,7.76
FL10,20.46
FL13,0.8
FL14,12.7
FL20,58.3
FL21,15.26
FL22,10.06
FL23,20.3
FL24,64.03
FL26,9.8
FL27,10.4
GA02,8.0
GA04,45.66
GA05,65.43
GA13,36.93
HI01,35.57
HI02,36.37
IA01,0.74
IA02,0.14
IL01,51.63
IL02,56.06
IL03,10.7
IL04,63.26
IL05,38.53
IL07,73.33
IL08,16.03
IL09,36.77
IL10,21.13
IL11,17.47
IL17,1.26
IN01,14.48
IN07,22.54
KY03,18.54
LA02,54.08
MA01,27.23
MA02,22.96
MA03,23.9
MA04,24.96
MA05,43.3
MA06,19.06
MA07,73.96
MA08,26.53
MA09,14.8
MD02,21.88
MD03,24.44
MD04,53.68
MD05,28.81
MD06,10.44
MD07,51.28
MD08,27.84
ME01,14.87
MI05,8.59
MI09,8.62
MI12,26.99
MI13,62.42
MI14,59.72
MN03,5.01
MN04,28.08
MN05,51.78
MO01,55.63
MO05,11.99
MS02,30.44
NC01,35.0
NC04,34.8
NC12,36.87
NH02,1.0
NJ01,24.81
NJ06,16.44
NJ08,53.34
NJ09,31.38
NJ10,71.78
NJ12,31.54
NM01,14.53
NM03,14.63
NV01,25.27
NV04,1.7
NY03,2.52
NY04,8.49
NY05,73.42
NY06,31.86
NY07,74.62
NY08,71.39
NY09,67.49
NY10,53.46
NY12,62.59
NY13,85.52
NY14,56.99
NY15,88.09
NY16,48.72
NY17,16.16
NY20,13.39
NY24,5.29
NY25,14.99
NY26,20.52
OH03,36.22
OH09,24.05
OH11,61.42
OH13,10.52
OR01,18.35
OR03,45.28
OR05,1.32
PA02,47.99
PA03,81.42
PA04,14.76
PA05,25.49
PA06,4.72
PA07,0.52
PA18,25.22
RI01,34.62
RI02,18.12
SC06,34.41
TN05,12.68
TN09,53.64
TX09,54.15
TX15,10.75
TX16,31.35
TX18,49.75
TX20,18.52
TX28,14.72
TX29,35.75
TX30,54.85
TX33,42.09
TX34,16.15
TX35,26.19
VA03,28.48
VA04,16.91
VA08,42.58
VA10,1.55
VA11,30.25
VT01,24.2
WA01,10.67
WA02,18.01
WA06,9.37
WA07,63.17
WA09,40.57
WA10,8.87
WI02,33.91
WI04,48.74
AK01,-15.21
AL01,-28.61
AL02,-30.97
AL03,-31.37
AL04,-59.81
AL05,-32.81
AL06,-47.21
AR01,-30.0
AR02,-9.63
AR03,-30.8
AR04,-29.13
AZ01,-5.56
AZ02,-1.22
AZ04,-42.86
AZ05,-27.79
AZ06,-17.56
AZ08,-26.32
CA01,-22.53
CA04,-19.9
CA08,-18.67
CA10,-0.77
CA22,-15.3
CA23,-27.1
CA25,-0.1
CA42,-17.0
CA45,-4.3
CA48,-6.73
CA49,-1.13
CA50,-21.57
CO03,-13.56
CO04,-25.39
CO05,-26.49
FL01,-43.9
FL02,-38.84
FL03,-20.47
FL04,-34.67
FL06,-18.1
FL07,-0.04
FL08,-23.54
FL11,-32.9
FL12,-19.8
FL15,-13.44
FL16,-14.9
FL17,-28.47
FL18,-12.27
FL19,-26.9
FL25,-9.3
GA01,-20.37
GA03,-37.7
GA06,-14.5
GA07,-17.24
GA08,-33.04
GA09,-63.94
GA10,-31.47
GA11,-34.2
GA12,-20.47
GA14,-56.97
IA03,-2.42
IA04,-22.46
ID01,-39.58
ID02,-29.95
IL06,-2.0
IL12,-13.27
IL13,-7.7
IL14,-9.87
IL15,-44.67
IL16,-17.97
IL18,-29.9
IN02,-21.99
IN03,-34.12
IN04,-32.59
IN05,-15.32
IN06,-36.42
IN08,-30.59
IN09,-25.29
KS01,-46.55
KS02,-19.05
KS03,-4.75
KS04,-29.02
KY01,-39.53
KY02,-31.76
KY04,-29.23
KY05,-54.43
KY06,-10.5
LA01,-41.19
LA03,-35.19
LA04,-20.96
LA05,-25.89
LA06,-32.42
MD01,-30.39
ME02,-6.13
MI01,-18.64
MI02,-17.71
MI03,-10.38
MI04,-20.88
MI06,-7.74
MI07,-14.04
MI08,-7.18
MI10,-27.01
MI11,-6.41
MN01,-10.99
MN02,-2.29
MN06,-23.65
MN07,-25.32
MN08,-10.09
MO02,-15.61
MO03,-38.14
