"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"5001400US0200","Congressional District (at Large) (114th Congress), Alaska","736732","*****","385582","1999","94861","1673","92470","2173","2391","1097","616","299","1775","1089","290721","1324","265838","2286","24883","1915","14388","1502","10495","1770","351150","1999","91908","1648","90414","1558","1494","798","580","435","914","621","259242","1188","233338","2512","25904","2157","15014","1614","10890","1666"
"5001400US1000","Congressional District (at Large) (114th Congress), Delaware","935614","*****","454005","925","104316","827","102259","1134","2057","694","960","472","1097","513","349689","700","312290","2755","37399","2651","18296","1928","19103","2358","481609","925","99526","850","95915","1237","3611","842","961","515","2650","878","382083","528","344850","3044","37233","3005","18952","2277","18281","1987"
"5001400US1198","Delegate District (at Large) (114th Congress), District of Columbia","658893","*****","312633","686","58267","437","55122","1056","3145","899","665","402","2480","847","254366","479","213786","3076","40580","3023","14237","2449","26343","2193","346260","686","56763","437","52915","1192","3848","1159","907","568","2941","1131","289497","480","245121","3068","44376","3012","19706","2025","24670","2501"
"5001400US3000","Congressional District (at Large) (114th Congress), Montana","1023579","*****","513409","1733","115260","1335","114373","1354","887","424","187","148","700","380","398149","1561","388909","1952","9240","1360","4572","976","4668","845","510170","1733","109362","1482","108449","1430","913","419","304","256","609","339","400808","1191","387966","2016","12842","1628","6347","1096","6495","1218"
"5001400US3800","Congressional District (at Large) (114th Congress), North Dakota","739482","*****","376324","2104","84491","1611","83339","1404","1152","615","83","98","1069","614","291833","1488","281274","1911","10559","1429","4035","1026","6524","1207","363158","2104","83035","1737","81958","1763","1077","519","432","354","645","530","280123","1244","268757","2021","11366","1809","4840","1392","6526","1179"
"5001400US4600","Congressional District (at Large) (114th Congress), South Dakota","853175","*****","427381","2338","107789","1406","105798","1491","1991","667","698","393","1293","540","319592","1780","309423","1870","10169","1744","4855","1308","5314","1075","425794","2338","103104","1745","100674","1877","2430","748","988","619","1442","578","322690","1907","312653","1948","10037","1419","4760","1176","5277","927"
"5001400US5000","Congressional District (at Large) (114th Congress), Vermont","626562","*****","308516","1131","63115","966","61884","825","1231","571","674","369","557","350","245401","975","235174","1650","10227","1454","4903","883","5324","1103","318046","1131","58695","996","57717","1063","978","383","680","355","298","206","259351","989","246209","1508","13142","1058","7103","949","6039","805"
"5001400US5600","Congressional District (at Large) (114th Congress), Wyoming","584153","*****","297181","2369","70507","1857","69927","1815","580","303","383","241","197","181","226674","1666","216259","2090","10415","1709","3020","974","7395","1788","286972","2369","67257","1567","66634","1635","623","364","56","70","567","351","219715","1756","208855","2115","10860","1517","4319","911","6541","1277"
"5001400US7298","Resident Commissioner District (at Large) (114th Congress), Puerto Rico","3548397","*****","1704416","3135","403040","3132","400906","3325","2134","848","293","321","1841","751","1301376","*****","1256396","3574","44980","3574","18802","2409","26178","2390","1843981","3135","369705","3136","367758","3183","1947","736","379","326","1568","667","1474276","*****","1430182","3257","44094","3256","20720","2024","23374","2393"
