"GEO_ID","NAME","B29001_001E","B29001_001M","B29001_002E","B29001_002M","B29001_003E","B29001_003M","B29001_004E","B29001_004M","B29001_005E","B29001_005M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!18 to 29 years","Margin of Error!!Total!!18 to 29 years","Estimate!!Total!!30 to 44 years","Margin of Error!!Total!!30 to 44 years","Estimate!!Total!!45 to 64 years","Margin of Error!!Total!!45 to 64 years","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over"
"5001600US0101","Congressional District 1 (116th Congress), Alabama","544464","3424","104060","2412","125900","2538","188031","3186","126473","1797"
"5001600US0102","Congressional District 2 (116th Congress), Alabama","516295","5674","109222","2918","118999","3146","173351","3069","114723","2059"
"5001600US0103","Congressional District 3 (116th Congress), Alabama","543854","4099","121328","2379","121212","3483","182379","3899","118935","1851"
"5001600US0104","Congressional District 4 (116th Congress), Alabama","515701","4678","95990","2777","114921","2560","177247","3022","127543","2309"
"5001600US0105","Congressional District 5 (116th Congress), Alabama","551968","2121","109986","1624","129788","1913","193348","1995","118846","1412"
"5001600US0106","Congressional District 6 (116th Congress), Alabama","535753","7635","101646","4222","133635","4599","182710","4171","117762","2727"
"5001600US0107","Congressional District 7 (116th Congress), Alabama","504177","9052","126572","5253","114337","5109","162887","5505","100381","3261"
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","532244","2539","127476","1829","144647","2629","174789","3032","85332","1468"
"5001600US0401","Congressional District 1 (116th Congress), Arizona","568661","9203","124100","4886","129362","4892","169734","4410","145465","4443"
"5001600US0402","Congressional District 2 (116th Congress), Arizona","550044","9439","116061","6026","114471","3938","166939","4774","152573","4037"
"5001600US0403","Congressional District 3 (116th Congress), Arizona","500787","12277","146929","7152","122468","6742","143475","5931","87915","5424"
"5001600US0404","Congressional District 4 (116th Congress), Arizona","633528","10386","95038","5092","118494","4302","201308","5612","218688","4390"
"5001600US0405","Congressional District 5 (116th Congress), Arizona","587681","10348","106103","6236","155762","5177","190794","6636","135022","5635"
"5001600US0406","Congressional District 6 (116th Congress), Arizona","577899","11084","104945","7109","124931","5792","202991","6785","145032","5372"
"5001600US0407","Congressional District 7 (116th Congress), Arizona","454957","12175","153294","8230","120219","6998","127158","5249","54286","3904"
"5001600US0408","Congressional District 8 (116th Congress), Arizona","599423","9645","100261","6074","131595","6104","189019","5970","178548","6383"
"5001600US0409","Congressional District 9 (116th Congress), Arizona","562791","12216","160510","7893","141929","7600","170213","5766","90139","4645"
"5001600US0501","Congressional District 1 (116th Congress), Arkansas","548710","3198","106231","1874","128779","2847","183306","2815","130394","1660"
"5001600US0502","Congressional District 2 (116th Congress), Arkansas","570220","3398","123752","2603","138990","1946","186961","2171","120517","1500"
"5001600US0503","Congressional District 3 (116th Congress), Arkansas","573113","5357","134210","2608","143907","3362","179259","3721","115737","1859"
"5001600US0504","Congressional District 4 (116th Congress), Arkansas","532069","4667","105713","2805","110275","2756","179824","3878","136257","1877"
"5001600US0601","Congressional District 1 (116th Congress), California","553702","4675","112448","3044","109556","2817","177833","3037","153865","2632"
"5001600US0602","Congressional District 2 (116th Congress), California","534951","6691","86946","3479","110075","3356","187221","3994","150709","3841"
"5001600US0603","Congressional District 3 (116th Congress), California","504299","7222","128483","4750","117545","3888","158659","4464","99612","3064"
"5001600US0604","Congressional District 4 (116th Congress), California","573118","5649","91864","3096","121814","3416","203386","3603","156054","2984"
"5001600US0605","Congressional District 5 (116th Congress), California","508369","9829","96576","5121","116637","5832","172776","5373","122380","4195"
"5001600US0606","Congressional District 6 (116th Congress), California","506434","10206","124359","5205","140392","5545","152039","6561","89644","4058"
"5001600US0607","Congressional District 7 (116th Congress), California","537436","8063","102634","5131","131950","4910","186789","5301","116063","3726"
"5001600US0608","Congressional District 8 (116th Congress), California","477512","10385","109039","5555","117970","5105","157700","6221","92803","3751"
"5001600US0609","Congressional District 9 (116th Congress), California","482967","8819","109840","5368","115502","5330","162695","5286","94930","4584"
"5001600US0610","Congressional District 10 (116th Congress), California","493409","7043","120037","3797","126032","4686","155323","3904","92017","2832"
"5001600US0611","Congressional District 11 (116th Congress), California","508963","9040","94457","4983","118438","4859","178718","5157","117350","3674"
"5001600US0612","Congressional District 12 (116th Congress), California","571300","7542","115725","4667","185209","4395","161917","4179","108449","2310"
"5001600US0613","Congressional District 13 (116th Congress), California","536892","6882","124347","4666","153682","5144","158802","4413","100061","3781"
"5001600US0614","Congressional District 14 (116th Congress), California","511049","8400","98885","5667","125040","4411","171998","4919","115126","3942"
"5001600US0615","Congressional District 15 (116th Congress), California","503361","8070","92013","4754","134040","5781","179479","5567","97829","4579"
"5001600US0616","Congressional District 16 (116th Congress), California","423147","10984","127642","6314","108432","5479","117889","4736","69184","2840"
"5001600US0617","Congressional District 17 (116th Congress), California","438374","13412","86540","5904","103893","5625","162474","6539","85467","4716"
"5001600US0618","Congressional District 18 (116th Congress), California","491580","9611","84672","5044","111547","5704","186221","6347","109140","4314"
"5001600US0619","Congressional District 19 (116th Congress), California","482363","9857","110244","5260","120200","5874","159427","5328","92492","3735"
"5001600US0620","Congressional District 20 (116th Congress), California","434889","8953","113595","4679","100241","4313","129619","4416","91434","2791"
"5001600US0621","Congressional District 21 (116th Congress), California","354669","11267","112192","5357","95934","5882","94483","5771","52060","3502"
"5001600US0622","Congressional District 22 (116th Congress), California","483064","10845","121739","5627","123766","4975","144754","4846","92805","3481"
"5001600US0623","Congressional District 23 (116th Congress), California","490446","10566","114763","5828","124203","4607","159160","5739","92320","4176"
"5001600US0624","Congressional District 24 (116th Congress), California","508333","5576","143040","3095","96005","3134","147344","3174","121944","1493"
"5001600US0625","Congressional District 25 (116th Congress), California","482964","10876","103999","6215","115475","6057","175776","5989","87714","4903"
"5001600US0626","Congressional District 26 (116th Congress), California","480928","6034","107880","3084","105706","4374","162047","3890","105295","2314"
"5001600US0627","Congressional District 27 (116th Congress), California","471963","11108","86706","5621","108732","5456","159649","6152","116876","6237"
"5001600US0628","Congressional District 28 (116th Congress), California","502971","13353","99507","6085","139517","7382","166073","6738","97874","5020"
"5001600US0629","Congressional District 29 (116th Congress), California","402898","11545","111823","5915","101568","5619","119181","5527","70326","4332"
"5001600US0630","Congressional District 30 (116th Congress), California","529846","14610","113793","7651","130676","7750","174660","7066","110717","4893"
"5001600US0631","Congressional District 31 (116th Congress), California","482081","9659","128989","5873","127282","5502","146719","6812","79091","4412"
"5001600US0632","Congressional District 32 (116th Congress), California","449452","11398","116658","6162","107883","5087","139777","6506","85134","5251"
"5001600US0633","Congressional District 33 (116th Congress), California","517251","10427","99299","6033","122449","5260","167981","5792","127522","5258"
"5001600US0634","Congressional District 34 (116th Congress), California","425520","11922","117797","5552","122307","6508","109068","5863","76348","4212"
"5001600US0635","Congressional District 35 (116th Congress), California","450565","12666","146833","7258","115997","5609","125573","5706","62162","4071"
"5001600US0636","Congressional District 36 (116th Congress), California","536333","9648","95867","4707","111759","5079","170439","6331","158268","6354"
"5001600US0637","Congressional District 37 (116th Congress), California","468463","13452","129241","8208","118145","5515","136694","5375","84383","4567"
"5001600US0638","Congressional District 38 (116th Congress), California","481296","10991","116734","6337","115644","5278","152188","6944","96730","4942"
"5001600US0639","Congressional District 39 (116th Congress), California","486713","10190","112813","6257","110244","5535","161474","5947","102182","5836"
"5001600US0640","Congressional District 40 (116th Congress), California","340435","9624","117561","5502","88081","4930","86405","4376","48388","4137"
"5001600US0641","Congressional District 41 (116th Congress), California","478613","8532","154274","6594","126217","5315","132970","5468","65152","4610"
"5001600US0642","Congressional District 42 (116th Congress), California","538265","9226","122803","6056","145881","6071","177568","5224","92013","5193"
"5001600US0643","Congressional District 43 (116th Congress), California","454185","11440","114853","6789","115255","6009","142409","6116","81668","4903"
"5001600US0644","Congressional District 44 (116th Congress), California","395819","8661","115574","5092","110263","5325","108537","4864","61445","3478"
"5001600US0645","Congressional District 45 (116th Congress), California","532802","12285","110235","5848","119202","6634","187676","6330","115689","4872"
"5001600US0646","Congressional District 46 (116th Congress), California","408633","10145","130145","6155","103298","5649","111682","5036","63508","3917"
